text,label
abun mamaki har yanzun akwai masu sauraran jawabin buhari,Neutral
kafi gaskiya baba,Positive
ya allah dukkan shugaban daya kora jamaa gida bai musu wani tanadi akan hakan to allah shima ka matsa masa ranar alkiyama munafukan banza kawai,Negative
aiki dai baba har an bashi anyi approv httpstcosrgbcvyz,Neutral
yan bura uba zaku gane shayi ruwa munci durin uwarku allah ya kaimu shaggu matsiyata nayi nadamar zaben azzalumin har sau biyu,Negative
najeriya tab dijan sauro ma ya ish ka,Negative
baba kasha riyarka lokacin ka dama nasara kana tare cikin yardan allah muna maka fatan alkhairi allah yakara nasara,Positive
hhhh baba ali nuhu yaranka tarbiya,Negative
buhari yayi gaskiya yace mataki gaba wato next level,Neutral
innalillahi wainna ilaihirajiun ya ubangiji dan muba dan halin allah mun tuba ka kawowa kasar zaman lfi ya allah ana kash mutanen basu ji baba gani allah ka sassauta manaya allah duk yake sa hannun kisan nan allah ka wulakanta,Positive
nadama ai wani abu bane siyasa tunda rabiu kwankwaso ka fara yin nadama kafin,Negative
muna maka barka dazuwa tabbayata itac mai yasa kake san gurin yan siyasa kasa,Positive
shinkafa yar gwamnati fadama bukhari mukarrabansa insunji haushi mutu,Negative
nifa har ynz baaimun bayanin d zan ydd akwai corona nigeria bda ace naga ta kama buhari ganduj to zan iya yarda ta shigo,Neutral
buharin atikun kwankwason dasu taran marokan mawakan daku bbc din duk kunci saa bana zagi dana dura muku ashar yan rainin wayo kawai,Negative
allah wadai kakeyi babu maganin abunda zatayi kamata yayi kayi amfani tsohuwar fasaharka ta mulkin soja domin ka tabbatar zaman lafiya kasa baki daya baba kabamu kunya wallahi yar arewa muna cikin tsaka maiwuya,Negative
gwamnati aekin graya jama kamar gask zancen banza ja kuce ga albsu umma abu kamar aeki marasa,Negative
ai mgnr shiga matsin tattalin arziki tinda dama cn cikinsa muke kawai za kara shiga cikin wahalada matsanncin talauci sukuma shugabanno zasu sake samun dama,Negative
aibashin nakoraba kawai har kaema yakamata kakori kanka sauran yan majalisar baki daya harma gwamnoni baki daya sbd komi naku gudana allah kawomuna shuwagabanni adilla,Positive
duk duniya najeriya tafi iskan raina hankalin mutan,Negative
babu dan siyasar zan iya yiwa,Neutral
kanwa uwar gami bbc kunga fa kuna wuce kaida kuda aiki kawo karin maganar zai gama baba mutanen nigeria ai kune kanwar uwar gami,Negative
fadi alheri dai ayi shiru fata nagari lamiri allah ya kiyay qasata najeriya,Positive
baba ya hango mutuwa,Negative
kufa kukac baba zai gyara kasar,Neutral
kyau shugaba ya rinqa nuna jarumta jajircewaba wai yaush suna nuna hali rauni gazawa jin tsoro ta hanyar kiran yin sulhu sau adadi mutanen san alawari,Positive
allah yasa iya can be dokan zaiyi aiki,Positive
kamar gask suy boko haram bayan wadan suka dauki nauyin nasu dallah yanxu fa mungan gomnati itac boko haram,Negative
hmmm buhari ai dan bushiyan kokadauka,Negative
yan bindiga sun sace yan china huu calabar ke kudancin najeriya httpstcogieoajg httpstcovhrpfd,Negative
allah yasa halinsa ya canja ya koma kamar yadda muka sanshi san talakawa lokacin yake kuka akan takalan najeriya yayi addua duk bara gurbin suke tare dashi allah yayi maganin shima bazai gyaru allah yachanja mana mafi alkhairi,Positive
gwamnatin ta gaza ta fuskar tattalin arziki inganta rayuwar alummar kasar nan kullum agogon talauci duniya kan nigeria yake tsayawa,Negative
zamuji yanda zamu saka fe ma han sanataiza,Neutral
allah subhanahu wataala kawargaxa shirinsu kawulakantasu ya allah kakunyata axxalimannan kakawomana karshen taaddancin ya rabbalalameen shikuma adalin shugaba allah kabashi kariya kacigaba riqo hannayenshi ya hayyooya qayyoom,Positive
innalillahi wainna ilaihirrajiun gwamnati wai kina dan allahwac irin rayuwa shikenan kullum talaka shine wahala anc koma gona muka to yanzu km mun koma yan bindiga sun saka haraji anya kuwa kuna so kabarin yayi hask wace irin masifa,Negative
trump yasha wuya kenan izinac ga shugabanni masu bakin hali susani cewa damar ahannun talaka take,Negative
up baba insha allah muna tare dakai baba jamu muje yan fanchal suyi biyu babu,Positive
zaben kanannan hukumomi gidauniyar ft ta bukaci jamiyun siyasa sake mara wa matasan gomb karin bayani httpstcomtzgyf,Neutral
allah yaqara maka lafiya baba ibbash kune masoya arewa bamusaniyanda muka rinqa zaginka baya wallahi rashin sanin dan allah kayi hakuriallah yasa kagama lafiya,Positive
wato nigeria shegiyac wlh matsalar tsaron kudancin nigeria wata sabuwa drama siyasa,Negative
alamu amurka nason kwafar inconclus makamancin kasa najeriya,Neutral
to baba gamu nan,Neutral
aikin banza hakuri zamuc arewacin nigeria baraayi haqurin bah,Negative
kaji wata hauka buhari allah allah bai yafe hakkin wani kansa shine shikuma biladama tsabar ya tabbata bai hankali ya yafe ma bawa dan uwansa hakkin ya kasanc ubangiji sa kace kasar musulunci muke,Negative
alhamdulillah samun baba buhari mandatori shugaban kasar nigeria,Positive
yau bazzen manjo talakawa suna murna samunka duniya alherin allah kaima ka baba sarkin tausayin talaka,Positive
kunkoma ga allan yanzu kali abunda jingir yace jiya buhari yin daidai duk matsalar tsaro dade fuskantar malam kune matsalar bakwai iya fadawa gwamanti gaskiya abunda kuke samu daga wajen gwamnati to allah nan zaiyi alkal,Negative
ye hkn malam aminu so zamu hada karfi karf rokon allah ya kawo mana karshenend boko haram banditryend corrupt in jamaa gaaa zabe n tunkaro kula kanmu laafiyar gudun kar ayi amfani kuriun wajen zaben azzalumin shugaban,Positive
gaskiya shugaban kasa malam yayi kokari allah yasaka mai alkhairi saura minimum wage yanzu yarag ga polic nigeria suji tsoron allah sudaina ansar chin hanchi,Positive
ai an gama raina mana wayo kawai taya abu yau aka sa rana ace za shirya ma sa hujja bace inec ta bayar wata watanni ake maganar zaben nan abin kunya gazawar inec,Negative
suke shirin wargazaku dea wargaza nigeria ai allah inshaa allah karshen gwamnatin zalunci yazo,Negative
biden dinnan ya zare allah amurkawa dawo baban ivanka,Neutral
wato baba azaun yayi tasa sallar meyasa,Neutral
allah yakara lfi baba ganduj up apc,Positive
nawa gwamnati takai gidansu bawan allah sakamakon jiya yan taadda suka kasheshi kawai wani gudunmawa gwamnati tayi dominshi jiyan wallahi arewa farka httpstcoeuniykoop,Negative
baba duk abinda zaka fada mungama mundawo daga rakiyarka kawai bazamu sake zabar ka anci amanar saidai allah kawai,Negative
allah yakara lafia baba,Positive
wato fahimta dai ganduj mugun dan bakin cikin wallahi baida yake damunsa zuciya kamar kwankwaso allah rabamu shugabanni jahilai mabiya waway,Negative
kano ta ganduj buhari,Neutral
kaji kan shugaban cin hancin zarginsa ake,Negative
yanzu ganduj kunya tsoron allah har yanada wani abin cewa game cin hanci,Negative
allah isarmuku ga buhari,Negative
zamu roqi allah don kaima bayinkanka bane shugabanmu allah kawomana dauki nothernlivesmatt,Positive
retweet and dan najeriya ya lash gasar cin abinci mai masifar yaji kasar china congratul dan mayya,Positive
kullum govern din banda jahilci babu abinda ta iyatana daya daga cikin wadda ta haddasa kibi lanci tsakanin yaraidan bada banada hauka ai baku bakin magana ga alumma,Negative
kyau ake son shugaba zan cen gaskiya nan bada jimawa zasu gane kuskurensu inhar munada shugabanni irin ka,Positive
kaima baka mana adalchi bah mr presid you fail us,Negative
masha allah jinjina ga mai girma gwamnan jihar borno farfesa babagana umar zulum allah ya taimaki mai taimako allah ya kare mana khadimul ummah din talakawan jahar borno fatan alkhairi babagana umar zulum khadimul ummah,Positive
innalillahi wainna ilaihi rajiun asib bare mota zata ka asib abunda bai fi karfin gwamnati jaha allah ya shirya mana shuwagabanni,Positive
iya dubaduba samodara iya duba zani samodara baba ya siya min samodara ya inyi yanga samodara toh ga yangar yi samodara httpstcojimhpndct,Neutral
aikin banza aikin wofi badan zagi kyau danno mugun ashar kowa ya dare bakufa tarihin buhari yayi zangazanga tafi kirga kasarnan,Negative
ikon allah to me sukac muku gaskiya an raina gwamnati akasar nan,Negative
allah yajikansa babanmu maganin kukanmu hakika allah baya barin wani don wani yaji dadi,Positive
kawa abarma buhari posit din ya hada biyub,Neutral
gski shehu baba,Positive
matakinn yakamata yanzu yafara aiki jiran gwamnati,Neutral
fadawa baba bude muma dan allh mun gaji,Neutral
yaush ai yanzu komai mun gani buhari allah dai ya ida lafiya,Positive
duk sanda naga irin labari murna kokarin irin wanna mutan sannan tausayawa shugabanninmu domin yawancin basa tsoron haduwa ubangijinmu allah ya isar mana,Positive
watamiyar makwabta aiki ga babanka dogo dan borno jamuj mugani,Neutral
toh gomna jigawan ya yayi aur,Neutral
hhhhh kunga baba dariya harbaka acigaba keway duniya baba,Positive
allah yaqara tsareka adalin shugaba amin,Positive
chai in nada nama shafa naka kaji wai yau babangida ke bamu shawara allah wadaran munafiki,Negative
allah yakiyay baba,Positive
zai zama shugaban kasar nigeria insha allah,Positive
hummmm inhar mun bada kudin xaka wa uwar buhari waka ma buhari duk kinci bahun buraouba nan shege dan yar yarjnya daga har yaron dan daura duk munyi magani,Negative
wai cameroon domin lalacewa gaskiya shugabanninmu basu amfani,Negative
ma akeyi najeriya wlh,Neutral
nufinku de zama buhari yajawo wa nigeria talauci kenan to nide nayi nan,Negative
yachi banza baba,Negative
kowa ya zama shugaban hukumar zabe mai zaman kanta wato inec chairman,Neutral
lallai akwai kura aeesha tace minist bata bayyana buhari bazai aur taba saida yaga anyi sallah central mosqu baa waliyyai matsoba,Neutral
baba kamanta alkawarin kama talakawa kancewa zaka ciresu daga kuncin rayuwa kafin ka hau mulki kace bakada kudin flatform talakawa muka hada taro sisi muka baka ash muna zatan wuta amakeran saigata amasaka,Negative
ai fa dai ministar jin jijidakai in dai ministar jinai,Negative
an rasa shugaban zai iya aiki nufinka zamuyi ta zama har duniyar ta kare,Negative
dama shiya sasu kenan to allah ya isa dan durin uwar biden wato maman baban joe din,Negative
kufa kune kuke kara gishiri wace miya mey ruwanku cewa wai alamu sake rufe makarantu najeriya,Negative
hakuri neh koh toh munyi dan allah shima yayi hakuri yayi resign daga shugabancin nan dan shima ya gaza dashi governor katsina,Negative
nidai banyi afuwa baba yaganni,Neutral
baba nan dai no shake,Neutral
yo ai najeriya daman ansaba ciny kudin talaka wanga m aiba komai bane suci gaba kamar yadda suka saba akwai ranar kin dillanc ranarda mutun uwarsa gudunsa take,Negative
gaskia baxa ayi sak wake shinkafa za ayii zabe nigeria,Negative
gashi anci amanarmu anyaudaremu babu wani jindadi kowani abu talaka yasamu acikin axxalimar gwamnatin hakika anyaudaremu tir,Negative
yo doka nawa aka karya nigeria yanzu hakama nake sha catch me if you can,Negative
sun iya rufe wajen ibada basu rufe kasuwanni maaikatun gwamnati,Negative
karya doka yafi burgeni dakuma sama ya taka kasa abinda za ai,Negative
ahhh ai dama buhari ganduj duk munafukai bakinsu daya dana so suke wargaza arewa tunda buharin yahau mey yamana arewa mudai tirrrr mulkin kama karyan,Negative
cho karin maganar shine dai dai irin salon mulkin manjo al ummar arewacin nigeria mun zabe cin uban yan kudu suna cin moriyar mulkin sa shine inuwar giginya nesa kan shaki buhari,Negative
to allah yabawa baban lafiya amin ya allah,Positive
aikin banza banza wawayen mutan yan majalisar kasata wallah aikin soja guda yafi duk taronku mi kuke barkatawa talaka nigeriar kashi cikin dari naku bakuda amfani ga talakawanku waway kawai allah sakawa talakawa akanku,Negative
shima buharin ya saci rabonsa ai,Negative
duk parti me din nan duk apc matsala aka samu,Neutral
dokar nigeria dokar allah,Neutral
baba buhari yahana nomata,Neutral
kungani buhari dan wiwi,Negative
inaga bukhari allah wada kada yasani yanxu kalmar shugab,Negative
duk salon yaudara kawai yan najeriya zabe yaush ake shan wahala najeriya yau ya sani,Negative
mai dokar bacci ya ige likimo,Negative
dan zangon katab yafi buhari suna yafi dangot suna in banda qbinka q hausa film ai ali nuhu har abada yafika bbc kun kwofsq gaskia,Negative
kin ci mutumci kin samu abinda kike nema to wlh tallahi duniya tana jiranki kin wayi gari kare yafi ki darja yahudawa sun saki gb don allah ya aramiki kwanaki kadan siyasa kike yin yada kike so ki ci gaba sannu zaki gane gski alh ysiryki,Negative
baba wanka kawai kake diba villa bai san ma abin ke faruwa nigeria kadan,Negative
abin yakoma yar tsokana wan dai yan nigeria kuke sun zabi buhari ga buhari dawo musu shine kawai kaikayi koma kan mashekiya,Negative
hka yake baba,Positive
shawara ga gwamnatin nigeria for our futur miy zaihana ayi creat wani topic for our school tunda primari school zai kama nuna darajar rayuwar danadam kodan arag kash kashen,Neutral
an tarwatsa layin zabe rumfar mai garin gama httpstcohkighlnwt kanorerun nigeriadecid kanodecid httpstcoduanbrsz,Negative
kune kukaceh muzab,Neutral
kamantaa gwamnatin kasan nan xataa taimakaki gwamnatii tapii kowaa sanin ta yaddaa xataa taimakii talakan najeriya temakon akeso amanaa kamar yaddaa nepa bile yeke xuwaa kowanii gidaa meyasaa kudii,Negative
allah ya laanci shugaban franc magoya bayan sa allah kasa masu mummunan hari,Negative
allah ya kaimu lahadi lafiya muna yiwa allah biyayya muna yiwa shugaba daa salla till sunday,Positive
jamaa wace irin rayuwa muka tsinci kanmu dan allah gwamnati tayi wani abu akan mutanen nan suna matukar bukatar taimakoduba fa baiwar allah nan yadda take matar aur,Positive
nigeria kenan wai ace baruwan doka tayaya zaka dauki abunda kaika ajiyeba dama benin republ tabamu aron shugaban kasarta shekara daya kawai,Neutral
wallahi karya yake ajikinsa kae tinda nijeria bata tabayin shugaba mayaudari mara rausayin talakawa irin buhari bayan mukafi nunawa kauna,Negative
allah y kara taimakun ka our presid,Positive
an sa dokar hana fita bayelsa,Neutral
dan allah baba kar anso dan wlh nasan ni baama bani dan bawani shiri nake gomnanmu,Neutral
ban sha kay hahaha bye bye baba trump tsula jan biri watarana,Neutral
muna godiya ga allah ya bamu shugaba yasan daraja en kasa,Positive
dama akwai majalisa najeriya,Neutral
allah yaji qansa rahama mai yasa baba buhari bai bisu,Positive
mutumin yar siyasar,Neutral
hmm an yankewa maryam sanda hukuncin kisa don ta kash mijintawaennan sun kash mutan dubu daruruwa sannan ana mgnr wata tuba allah wadaran gwamnatin nigeriano room for negoti with terrorist,Negative
hahahaha allah kyautawa shugaban kasar nn namu,Positive
bakuga fuskarta kamar ganduj uncl enta,Neutral
ash gask batun wasu mutan suke cewa shugaban kasa baisan abubuwan suke faruwa kasar maaikatan ya dauka ya yarda dasu basa fada mishi gaskiyar halinda arewa take ciki allah mun tuba,Positive
tayata murna sosai domin kuwa dai dai loacin ministan harkokin mata asata najeriya mista paulin tallen ke warkewa daga chutar korona chutar tayi sanadiyyar rasa ran mahaifi ga aya daga cikin abokaina allah nake roo daya gafarta masa yakuma karemu daga kamuwa,Positive
sojojin najeriya atisayen murmushin kada httpstcowfvlobsbl,Neutral
text,Positive
kagaa buhari kamar wani saurayi dan allah,Positive
atiku nation anthem zai sayar karon mun zabeshi,Positive
suka zabeshi tabba basu hankali,Negative
hka yake mayar lamarin siyasar duniya,Neutral
govern dai wasu daba,Neutral
to way zai yi limmanc ganduj,Neutral
don allah kada damqasu hannun gwamnati kuyi hadin guiwa central bank tura ma kowa nashi account,Neutral
sannu sauka baba,Positive
allah ya wa baba lafiya corona,Positive
baba ganduj anc muku mutanen nan sun haukac kuce aa wlh kaida zaabi akan kudin an yankewa shege hannuammakuyi shagalinkuallah madakata,Negative
matsellar dai laic mafita i tace addua allah ya kawo muna karshen ta allah yakawo muna zaman lafiya akasar allah yabawa shugabanmu i kun gahra kuskuran,Positive
duk sanda naga irin labari murna kokarin irin wanna mutan sannan tausayawa shugabanninmu domin yawancin basa tsoron haduwa ubangijinmu allah ya isar mana,Positive
bbc hausa ai anawa ganin babu wani kwakkwaran dadili daban zai hana shugaba buhari garin anara yawuc dalilin daya hanashi maiduguri domin jajantawa alummomin iftilain zabarmari ya afkawa daya wuce rashin kyakkyawar shugab yake fama dashi,Negative
naziru ya kalubal gwamnati me mulki an kama an gurfanar dashi gaban kotu wani yaci mutuncin annabi duniya ta sani anki daukar matakin daya dace dan ceto alummar dake bin bayansa wajen ganin cewa sun gane gaskia kuwa yank masa hukunci,Negative
baba bello wuni,Positive
wai zai yiwa buhari apc alqunut kamar yadda aka yiwa jonathan pdp is not fair,Neutral
me yasa baba baya fara lokacin zasu gaisa ganduj httpstcokxwgomwzb,Negative
maganarka haqqun ya allah kabamu shugabanni suke sonmu mukeso,Positive
uhmm amurika sati mai shugabansu zai ta mana hauka kafafen yada labaru bai iya magana kadan,Negative
shugaban kasa cabal,Neutral
ni banga dalilin irin wanan labari farko dai aisha matar buhari yan sanda sunkama maaikatan ta taje dai dai ta ruwan ana kash mana yan uwa tayi shuru mijinta yayi shuru dadin abun lahira lauya,Negative
abin shugabanni nigeria suke mana allah kayi musu irinsa ranar lahira,Negative
eyyah ya ban tausayi jonathan ya taya buhari murnar lash zabe httptcoawifwffkaq,Negative
akac hantsi ana nufin leka gidan kowamaana abunda bbc hausa suke nufi anan shine manjo kenankunga indai dan nigeria to baba buhari ya ciutar kaiko talauci ya taba gidankuko rashin tsaro ya ziyara danginkuallah ya bi mana hakkimmu,Negative
pl bbc bakuda labarin dazaku bamu sako muna labari akan yadda ta qare tsakanin dan bazawaramohd buhari akan yadda za ayi masa allurar rigakafin corona,Neutral
kwadaitawar bayau aka saba yintaba km alkawali yazama hira ga buhari allah yashi gemuna gaba km allah yaqara tufah muna asiri bakidayanmu,Positive
cen apc kutsai duk kukeso dan neh mukam namu zamuyi kawai pdp power,Neutral
bama yi ayi siyasar gado bacc,Negative
wallahi za kirgu alkhairi allah ka kara wa buhari lafiya nisan kwana imani,Positive
bayan sir abubakar tafawa balewa sir ahmadu bello babu wani mahaluki yakai alhaji muhammadu buhari argu with your keyboard,Positive
allah sarki talakan najeriya zan shiga kunci bacin ya tsallak matsi takura,Negative
canji presdor yagani lokachi daya canjawan wane gwamnati ganduj buhari,Neutral
allah dai yabiya lallai kam babu shakka abin koyin ga an baya nima sanata nasamo nawa kain zaka mata walicci,Positive
kaii jamaar mutan mene baba buhari zasu yi wadannan manyan kudaden ohootoh wataqila palli zaa raba mana,Neutral
watikila atiku alaka kungiyar kwallon kafa ta madrid dan yafadi zabe fa basu taba cin wa,Negative
shin wai buhari son talakawa ji dadin ya yi musu alkawalin xasu ji,Positive
bbc hausa nakasa yadda shirmen kodai kunhadu sharrin yan kutsen naura me kwakwalwan ai xalan akuy sauk post din cin xarapin ga mutanen najeriya,Negative
irin tinanin cikin abubuwan suka bawa pdp matsala dan anemi alkairi kawai agun allah,Positive
hmm wai buhari kudaden ka kwace hannun maaikatan gwamnati,Neutral
nation assembl yan buqulu mutsaya alayin zabe acikin awa biyu muzabeku kuje kuna diban miliyoyi kudimuda mukaj jamia mukayi shekara ga aikin bautar kasa jaha jaha akan kacal saida kuka samana ido to wallahi allah ya fiku,Negative
talaka babban mikiyin buhari duk abinda kaki ki acikin rayuwar ka to fa yasan me yake ze para ki shima,Negative
ya ballamusu doka dole goge yayi accept dokokinsu kafin ya bude shafin babu am fanin iko gwamnati hanashi aiki corrupt mutan kamar kowa yayi ammasa an katar trump ma,Negative
happi birthday baba buhari dan allah ka taimaka kasa effort kasa ka sakko mana qannan,Positive
shirin zuwan zaben atikuallah ya bashi nasara ameen,Positive
kebbi state basu ma san akwai wani abu waishi doka,Neutral
buhari atiku yabar club din atikubust pept,Neutral
to ai babu manya apc duk qartin banzaa,Negative
in allah yayarda malam yaga karshen buhari masu goya masa baya,Negative
allah ya kara lafiya baba tatayi ka gaji ka bawa yusuf shima yai tatayi,Positive
yazama dan siyasa kenan,Neutral
ali baba agama lafiya,Positive
haba baba close to you ai,Neutral
kwadayi ya yiwa yan najeriya yawa tunda ankasa sayen naman shanu kwado,Negative
banda africa zaayi fada shugaban kasa yan taway har kash shugaban kasar,Negative
kaji wawan buharin ma ya ware ka kaman vice presid dan shegiya xaka xo ka mana iyayi mtswwwwwww,Negative
an baiwa buhari kyautar jirgi,Positive
baba tagani,Neutral
ayya championship yanxu mun gane way uban suyayya mahmood suyayya mahmood babansu daya sabi lokacin aka nuna tarihin maman suyayya annu no wata tana barazanan data dawo wa baban suyayya dansa,Neutral
duk kanwar ja halinda nigeria ta shiga bayan fadawa hannun karamar lalacewa tayi fiy shekara ashirin dan nigeria cikin matsi muna ji muna gani shugaban nin sun raina mana hankali,Negative
ai tukunna ma kun manta allah kunc buhari jiki magayi bakuga komai baayiwa allah kinshiya zauna lafiya hmmm,Negative
waifa shina kaso yarika najeriya irin wanga shigaba in yarrika najeria wallai munbwani dan mutanen jahatai basu unhwani komiba bale wata jahar chan daban,Neutral
ah to fadar shugaban kasar gidankun kaji tsohuwar kila bakida qualif shiyasa,Neutral
bbc fa abu naku ai zabe america bakuda damar fadin lbr cikin gida yanzu aidama america din kuka koma,Neutral
rigiman gida ruwan ka barni baba,Negative
masu wanwar baba ganduj,Positive
to tunda kazama dan zaman kanka ganduj,Neutral
kanawa suna godiya baba ganduj,Positive
har shugaba buhari dake matsayin dan arewa bakatsin ya kasa tsare rayukan katsinawa dukiyoyinsu yaya rayuwarmu zata kasanc ya sauka daga mulki lokacin wani sama dan arewa shugababuharikabamukunya,Negative
kuna jawowa buhari surutu dayawa fah,Negative
buhari allah yasa tsakanin daku wallahi,Negative
kash myutun biyu kawai ai kamata yayi aceh mutan dari harda presid din,Neutral
buhari dai allah wadai mulki naka,Negative
har baba,Neutral
sahihancin labarin ganduj,Neutral
ydg daura photo rubutu internet zai iya shafar rayuwar masu shawar siyasa she dace ta gane mutum nagari lalac,Neutral
rants allah buhari ceman yayi allah daya bazan yadda akwai tulin hujjoji atar dani quria ta allah ya isa mugu dan muguwasokosaunagilu,Negative
jamaa shikenan yan north east banza ka barmu wallahi cutar tayi yawa yanzu maudan kuaen wai aikin hanyar mota zaa yi kudancin najeriya tou allah shine gatanmu,Negative
nan nan muna ji muna gani bamu isa muci shinkafa yar gwamnati matakan tsaron aka lafta mata tsare rayukan ya gagara shinkafa ta fimu daraja,Negative
kanal genar kawai don ganduj jin maganarsa sosai kamar baban sa,Neutral
gaskiyan wasu yan fim gun anacimasu karansu bababbaka sunansu,Neutral
kunyi kokari sosai wurin zabe najeriya fiyeda wasu gidajen jaridu,Positive
gaskia akwai lauj cikin nadi duk bazai wuce polit bazai rasa alaqa tallafin kudi gwamnatin kano ta nema ga gwamnatin garayya nidai ban tabajin inda aka fara gwajin covid aka dakatar kano thi is veri bad wallahi,Negative
yau nigeria riko mai gaskiya baba buhari mukeso nigeria,Positive
allah ya tsinewa kalaman garba shehu makaryaci wawa marassa kisin yankinsu hakan meyasa akanemi kuriar wlh allah wadai buhari allah ya isa kuncin amanar wlh zakuga karshinku,Negative
allah yakara lafiya baba ubangji yaci gaba kareka allah yayaf mana kura kuran muna rokansa sunayensa kyawawa kawo mana karshan wan nan wahalar httpstcoazsmjlox,Positive
pdp ke ehu domin ayukan hannyyoyin suka kasa gyarawan zaa farfado data kudunchin nigeria gabar,Negative
don uwarku yan majalisar najeriya makiya hassada ga yaran talakawa idon matsalar kudi mey amfanin kudaden kuke cinyewa arag kashi hamsin kudinku kashin kasa kuke mtswww,Negative
anci kudin dalibai hahahahah mbuhari is work,Negative
baba wa kuke tufkar toh allah ya kara wa annabi saw daraja,Positive
gwanda corona shugabannin wllh kansu suke kashemu ana cewa yan bindiga dadina daita bata cika damun talakkaba saidai masu hannu shuni maana masu madafun iko suko masu madafun iko kash talakawa allah isarwa talakka ga shuwagabannin wlh,Negative
ahar kulun soyayyar baba buharin karuwa takeyi azuciyar talaka,Positive
inna lillah wa inna ilaihi rajioon an maida yan nigeria waway wallahi allah ya isa elrufai fa yafi karfin wani abun ma nan gaba in ya zama shugaban kasa duk inda zaayi gyara dama an wahala bawan allahan son gyara,Negative
ai cin fuskan akewa baban wasu,Negative
arewacin najeriya dai kam addua,Neutral
kaji yan kutumar uba ai kuwa akwai dadi ka dannama mutum ashar musamman kayimai irin mai step dinnan like uban babanka,Negative
aha gomnati zata fara kama kanta kanta,Negative
